pmid,ref_list
17074820,"['15153999', '15213210', '7668302']"
15153999,"['12721363', '9096352', '10788337', '9114021', '10330360']"
15213210,"['11466240', '12184798']"
7668302,['1539589']
12721363,"['9465087', '11842208', '11309498', '9465125', '9990074', '12486239']"
9096352,"['8454213', '8986803', '8849901', '8524801', '8651264', '7668280', '7847383', '8159720']"
10788337,"['2563633', '2569271', '2569272', '1978553', '10090900', '3862128', '2014802', '1674373', '1709499', '1347420', '1361100', '8178829', '7887436', '8533775', '8972876', '9016524', '9556654']"
9114021,"['7624310', '8940282']"
10330360,['1539589']
9634526,['7668271']
11466240,['7703204']
12184798,"['7942857', '9096352', '9114021', '9326336', '9837836']"
14561327,"['11435412', '11842208', '12721363', '9465087', '11309498']"
12900503,['9653150']
1539589,['1342778']
9465087,"['9144239', '9199574', '8962130']"
11842208,"['9465087', '10611357', '11309498', '8962130', '9736742']"
11309498,"['9465087', '10611357', '8178829', '10445904', '10430595', '9736746', '9736742']"
9465125,"['9409852', '9114074', '9106523', '9331370', '9371742', '7668280']"
9990074,"['9465087', '8962130', '9736742']"
12486239,"['9465087', '11842208', '9012413', '11309498']"
8454213,['1353738']
8986803,"['8454213', '8159720', '7705647']"
8849901,"['1743489', '1732158']"
8524801,"['7624310', '8454213', '7705647']"
8651264,['7668280']
7668280,"['8159720', '7847383']"
7847383,"['8446605', '8159720']"
8159720,['8454213']
2563633,['9556654']
2569271,"['2904221', '2563633', '2565077', '2569272', '9556654']"
2569272,"['2563633', '2569271', '9556654']"
1978553,"['2564729', '2565077', '2816939', '2574002', '1967207']"
10090900,"['8533775', '9326336']"
3862128,"['4854920', '496890', '6750607']"
2014802,"['4854919', '3475690', '2563633', '2564729', '2569271', '2569272', '2816939', '1967207']"
1674373,"['3862128', '9556654']"
1709499,"['3862128', '9556654']"
1347420,"['2569271', '3862128']"
1361100,"['1981599', '2569272', '2574002', '2904221', '9556654', '1609797', '1967207', '1971147', '1998345', '2006152', '2565077', '2569271', '2816939', '1353941', '1978553']"
8178829,"['2569272', '8105688', '2569271']"
7887436,"['8105688', '7913584']"
8533775,"['1346260', '8178829', '7913583']"
8972876,['7668274']
9016524,['8594560']
9556654,['6750607']
7624310,"['8454213', '8159720', '7705647']"
8940282,"['8159720', '7568095']"
10720574,['10364531']
8981962,"['7942858', '7668275']"
9529345,['7668275']
9634509,"['9497257', '7668271', '7668280', '8981962']"
9837836,"['7942855', '7942858', '7887436', '7611282', '8644719', '8978068', '8981962', '9106543']"
10364535,"['7624310', '7668280', '8981962', '9106543', '9096352', '9529345']"
10835412,"['10364535', '9326336', '9837836', '7668280']"
7668271,['7768449']
7703204,"['7236566', '7236567', '2611189', '2036343']"
7942857,['7942858']
9326336,"['9106543', '8352271', '8552603', '8651264']"
11435412,"['10611357', '8962130', '9465087', '9736742']"
8571967,"['7912887', '7847383']"
11381027,"['8808610', '8751859', '8978068', '9055088', '9096352', '9150165', '9331370', '9837835', '10053017', '10400923', '10801975', '7942855', '7611282', '7668280', '8647407', '8846908', '8808611']"
11606545,"['9106543', '9326336', '10581301', '11158561', '11467434', '7624310']"
11932244,"['10835412', '10220421', '9106523', '9114021', '9371742', '10053017', '10077682', '10978303']"
9106543,"['8454213', '8159720', '7942857', '7942858', '7847383', '7668280']"
9683608,"['9106523', '9465125', '1743489']"
10568748,"['9106523', '10022981']"
10090902,"['7611282', '8533777', '7498756', '8659526', '8755923', '8755932', '9371742', '9399816']"
9653150,"['8524801', '7624310']"
1342778,['1539589']
8552603,"['1743489', '8304347']"
9144239,"['8799174', '7668271', '8962130', '8651312', '8622960']"
9199574,"['8454213', '8178829']"
8962130,['8622960']
10430595,"['7942858', '9585595']"
10611357,"['8178829', '8962130', '9106523', '9465087', '9465125', '9736742', '9770501', '9990074', '10430595']"
9736742,"['9465087', '9199574', '9144239', '9199565', '8962130']"
1496986,['1496985']
8446605,['1465380']
10445904,"['8751872', '9199574', '9345087', '9463316', '9792879']"
9736746,"['9465087', '9144239', '9199565', '7668275', '9399893', '8799174', '8622960']"
9409852,['8633071']
9114074,"['1743489', '8356042']"
9106523,"['8846908', '1743489', '7611282', '7668280', '7485171']"
9331370,"['9311756', '7624310', '7668280', '8552603', '9055088', '9106523', '9150165']"
9371742,"['7624310', '7668280', '8644719', '8633071', '9409852']"
9012413,['8533774']
1353738,['1975791']
7705647,"['1353738', '8159720']"
1743489,"['3453117', '3496523']"
1732158,['1346260']
2904221,['9556654']
2565077,"['3862128', '9556654']"
2564729,['2904221']
2816939,"['3615198', '2569272', '9556654']"
2574002,"['9556654', '2564729', '2904221']"
1967207,"['2904221', '2564729', '2565077', '2569271', '9556654', '6750607', '3615198']"
8633071,['1743489']
4854920,['4854919']
496890,['4854920']
6750607,"['4854919', '496890']"
4854919,['4854920']
3475690,['6750607']
1981599,"['2904221', '2565077', '1967207', '9556654']"
1609797,"['2564729', '2574002', '2904221', '1971147']"
1971147,"['3615198', '2904221', '2564729', '2565077', '2816939', '2574002', '1967207']"
1998345,"['2816939', '2569272']"
2006152,"['6750607', '2564729', '2569271', '2569272', '2816939', '2574002', '1967207', '9556654']"
1353941,"['9556654', '1967207', '1971147', '2569271']"
8105688,['2569271']
7913584,"['1496986', '8446605']"
1346260,['1732158']
7913583,"['2569272', '8105688', '8178829']"
7668274,['8178829']
8594560,"['1353941', '9556654']"
7568095,['7498756']
9585597,"['8986803', '9106543', '8454213', '8159720']"
9973303,['9683608']
10364531,['1743489']
9399893,"['7668271', '8651312']"
7942858,['7942857']
7668275,"['8178829', '7942857', '7942858']"
9497257,"['7942858', '7668280', '8981962']"
7942855,"['8304347', '1346260', '1732158', '8352271']"
7611282,"['7942855', '1346260', '8304347']"
8644719,"['1346260', '8352271', '8304347', '7611282']"
8978068,"['7611282', '7568095', '8647407', '8644719', '8808610', '1346260', '8304347']"
8722803,"['8454213', '8159720', '7847383', '7705647']"
8878702,"['8454213', '8159720', '7847383', '7705647', '7624310', '7668280', '8524801']"
9017402,"['7847383', '7705647']"
9569667,"['8454213', '8159720', '7705647']"
9628038,"['7624310', '9569667', '8454213', '7705647']"
7768449,['1353738']
7236566,['7236567']
7236567,['7236566']
2611189,['7236566']
2036343,['7236566']
8352271,['1346260']
9758619,"['9541507', '7668271']"
10859364,['7668271']
11121048,"['9683608', '9585595', '9331370']"
9311748,['7668271']
9541507,['7668271']
9634505,['9311748']
9683590,"['7668271', '8651312']"
9042927,['7668271']
10051618,"['9758619', '9311748']"
10090898,"['8962130', '9545414']"
8659521,"['8105688', '7847383', '7668280']"
9837834,"['8533777', '8644719', '8751859', '9371742', '8352271', '7611282']"
10318927,['9399816']
10400923,"['7624310', '8651264', '9055088', '9096352', '9106523', '9331370', '9463316', '10077682', '7705647']"
11005839,"['1743489', '10077682', '9106523']"
9792879,['9199574']
10655242,['10022981']
12032283,['9683608']
8900243,"['8304347', '8644719']"
9055088,"['8304347', '7847383', '7705647', '7611282', '7485171', '8552603', '8644719']"
9326337,"['7847383', '7705647', '7668280', '8552603', '8651264', '9055088', '9150165']"
9346874,"['8552603', '9055088', '9150165', '8304347']"
9463310,"['8304347', '9346874', '7942855', '1346260', '8644719', '8755932', '8808610', '8900243', '8978068', '9150165']"
9560405,"['8159720', '7705647', '7668280', '8722803', '8986803', '9096352']"
9683581,"['7668280', '8533777', '9096352']"
10077682,"['9683608', '9096352', '1743489', '9055088', '9465125', '7624310', '9106523', '9371742', '7668280', '9409852', '9560405']"
10364534,"['8552603', '8808611', '9055088', '9114021', '9331370', '9346874', '9463310', '1346260']"
10388828,"['8755932', '9399816', '9649540']"
7912887,['8446605']
8808610,"['7942855', '7611282']"
8751859,"['1346260', '8352271', '8304347']"
9150165,['8846908']
9837835,"['8647407', '8846908', '8755932', '8751859', '8940282', '8978068', '8352271', '9399816']"
10053017,"['1346260', '8352271', '8552603', '8846908', '9055088', '9106523', '9150165', '9331370', '9465125']"
10801975,"['8900243', '9106543', '9055088', '10090902', '10053017', '9331370']"
8647407,['7942855']
8846908,['8352271']
8808611,"['8352271', '7611282', '8647407', '8846908']"
10581301,['7624310']
11158561,"['10835412', '10801975', '9326336', '10364535', '9463310']"
11467434,['10581301']
10220421,"['9311756', '9106523']"
10978303,"['8352271', '8644719']"
9463316,['9199574']
9649540,"['9399816', '8647407']"
9199565,"['1361100', '8178829', '7913583', '8105688']"
9545414,"['7668271', '8651312']"
8751872,['8651312']
9443867,"['7942858', '7887436']"
9634510,"['8751872', '9199574']"
9611208,['9611209']
9611209,['9611208']
10022981,"['1743489', '9106523']"
8533777,"['8647407', '8352271']"
7498756,['8454213']
8659526,"['1346260', '8352271', '8304347']"
8755923,['1346260']
8755932,['8352271']
9399816,"['7668280', '8533777', '8846908', '8755932', '7847383', '8940282']"
8644711,"['8304347', '7611282', '1346260']"
8304347,"['1346260', '8352271']"
8799174,"['7668271', '8622960']"
8651312,['7668271']
8622960,['7668271']
9585595,['7624310']
9770501,"['9463316', '9465087', '9199574']"
10924481,"['8849901', '9055088', '9106523', '9331370', '9465125', '9560405', '9653150', '9683608', '10077682']"
10978293,['9114074']
10447507,"['9611209', '9683608', '8178829', '7913583']"
1496985,['1496986']
1465380,"['1496985', '1496986']"
9345087,"['8651312', '8751872']"
8356042,['1743489']
7485171,['7887436']
9311756,"['9106523', '9055088', '9096352']"
8533774,"['8178829', '8105688']"
1975791,['3862128']
3453117,['3496523']
3496523,['3453117']
3615198,['6750607']
342506,['342507']
6245058,['342506']
6988401,"['342506', '342507', '6245058']"
6302076,"['342506', '342507', '7016835']"
342507,['342506']
7016835,"['342506', '342507', '6245058', '6988401']"
6355059,"['342506', '342507', '6245058', '6988401', '7016835', '6302076']"
6330026,"['342507', '6302076']"
3082857,"['342506', '6245058', '7016835', '6355059']"
2820924,['6330026']
3283109,"['342507', '6302076', '3129409']"
3129409,"['342506', '6330026']"
7868611,['342507']
10733957,['9748442']
12208995,"['11244055', '8576052']"
12218039,"['9748442', '3082857']"
3156064,['6330026']
9139930,"['6330026', '3156064']"
9748442,['9139930']
8300543,['6302076']
9023230,['8300543']
10922040,['9184008']
15520285,"['10500101', '12183368', '12183369', '12670975', '15371343']"
12761086,"['11796603', '12183368', '12183369', '12228259', '9712795', '10500101']"
12670975,"['12183368', '12183369', '10500101']"
12228259,['9184008']
11796603,['9184008']
9184008,['8096622']
10500101,"['8576051', '8576052', '8759866']"
15968066,['10500101']
12183368,"['12183369', '10500101']"
12183369,"['8576051', '10500101', '12183368']"
15371343,"['10500101', '12183368', '12183369']"
11807066,"['8096622', '8550474', '8576052', '8759866']"
12897017,['7642488']
17079680,"['17012381', '12897017']"
17012381,"['12897017', '17079680']"
17650335,['17079680']
7790093,['7790094']
7790094,['7790093']
17548482,"['7790093', '7790094', '12438354']"
17724072,"['7790093', '17548482', '12438354']"
19687040,"['18389060', '17724072', '7790093', '12438354', '7790094', '17548482']"
12438354,"['7790093', '7790094']"
7642488,['7868611']
19917103,['7608084']
17189297,['7642488']
19074398,['17220229']
18389060,['12897017']
16938894,['12208995']
15784602,['7642488']
17010160,['12208995']
21245330,['19881496']
19996181,['19121005']
21989159,['19996181']
22457642,['18031307']
21687430,"['18389060', '19881496']"
21113180,"['17650335', '17079680']"
22123973,"['19881496', '19996181', '21245330']"
18031307,"['7790093', '7642488']"
19121005,['17189297']
21646430,"['20592237', '21245330']"
1629159,['3082857']
7814329,['1629159']
21784929,['11823218']
15205426,['9748442']
11244055,['7608084']
15601715,"['12670975', '15205426', '11244055']"
17220229,['7868611']
18302792,['15601715']
18359805,['12218039']
20709847,"['7608084', '15601715', '18302792', '11244055', '12208995']"
21856852,['15784602']
22082910,['19881496']
8576052,"['8576051', '8096622']"
8550474,['8096622']
9171421,"['8759866', '8550474']"
8759866,"['8096622', '8576051', '8576052', '8550474']"
8576051,['8576052']
10884408,['9501228']
12649434,"['9647837', '9683472']"
11823218,['1629159']
9647837,['9683472']
9683472,['9647837']
14532045,['11823218']
10759521,['1629159']
7592351,['8096622']
9294455,['9294456']
9294456,['9294455']
9515921,['7592351']
9573181,['8751923']
7608084,['6302076']
9435261,['8990197']
9501228,['8751923']
8990197,['8300543']
8096622,['1906066']
8631663,['8096622']
9006020,['8096622']
9573179,['8631663']
9624497,['8631663']
9765585,"['8096622', '8631663', '9573179']"
7927711,"['7505262', '1339408', '8419308', '8432618', '8449892']"
6811555,"['7022452', '7022453']"
6973759,"['7022452', '7022453']"
7022452,"['6973759', '7022453']"
7022453,"['7022452', '6973759']"
1906066,['7022453']
1339408,"['6811555', '7022452']"
8419308,"['1339408', '7022452', '6811555']"
8432589,['6811555']
8432618,"['8419308', '1339408']"
8449892,['1339408']
8349565,['8349566']
8349566,['8349565']
7505262,"['1339408', '8419308', '8432618']"
8083183,"['8349565', '8349566']"
10858235,['1906066']
15803655,['9293009']
11058151,['9184008']
11238984,"['9293008', '9293009', '10322035']"
9721270,['9603824']
9841674,['9184008']
8751923,['7505262']
9712795,['8751923']
10633126,['9529892']
11118204,"['8096622', '10633126']"
11401961,['8751923']
18701636,['17189297']
18577206,['17933898']
19212443,['18577206']
21447149,"['19212443', '18577206']"
19881496,['19116616']
20639316,['12208995']
20592237,"['19881496', '19996181']"
20877578,['19881496']
22820204,['22820204']
15377793,['15377794']
15377794,['15377793']
16825379,['15377794']
17397553,"['15377793', '15377794', '16825379']"
17430587,['16825379']
17873073,['15377793']
17898162,['16825379']
17933898,"['15377793', '15377794']"
18003806,"['17898162', '16825379', '17430587']"
18384685,"['18003806', '17933898']"
19038032,"['17933898', '15377793', '15377794']"
18832470,['14762000']
19521508,['19074398']
19325880,['15377793']
14762000,['9721270']
20581186,['19447963']
19745111,['18321378']
19654869,['18577206']
20548290,['19745111']
17328791,['15377793']
16796686,['15590782']
18811729,['10913088']
19411324,['18811729']
19651857,['10913088']
20041211,['18811729']
10913088,['8096622']
20124349,['20124343']
21966902,['18270153']
20418442,['15590782']
21159868,['19200360']
21126349,"['17971224', '15590782']"
15590782,['9184008']
17993529,['15377793']
22919641,"['21801381', '22151541']"
17194304,['18190707']
19858364,"['18613975', '17194304']"
20360213,['19745111']
20627892,"['19858364', '17194304']"
21575182,"['19858364', '20627892']"
21551269,['18321378']
18613975,['17194304']
19014515,['18321378']
11997347,"['10884408', '9501228']"
16223955,['11997347']
12730133,['12730134']
12730134,['12730133']
18689507,['15590782']
19200360,['17971224']
19587241,['18689507']
19776066,['18270153']
17785263,['18270153']
17971224,['15590782']
18270153,['17785263']
19116616,['17360515']
19888215,"['19116616', '19214212', '19376871']"
19216750,['15601715']
18047570,['12840036']
20057383,"['19116616', '19214212']"
19214212,['19116616']
19376871,['19116616']
9529892,"['8576036', '8096622']"
10094708,['9529892']
15743948,['15803655']
16461685,['15743948']
16513741,"['11790748', '9293008', '9293009', '9529892', '15803655', '11489857']"
17360515,"['9647837', '9683472']"
4643319,['4643318']
20481463,"['12509510', '17444661', '18376850', '19425580', '4643319']"
19197347,['15377793']
20418438,"['16391048', '18452026', '19447963']"
12381840,['9836874']
9836874,['8580851']
16391048,['11238984']
17827328,['16513741']
19447963,['16513741']
19558674,['15803655']
22645166,['19888215']
10322035,"['8096622', '9293009']"
16569701,['9184008']
22615773,"['17933898', '15377793', '15377794', '16825379', '17397553']"
22157005,['16513741']
22544252,['22157005']
22636780,"['15803655', '16513741', '22157005']"
21826220,['20592237']
22809431,['21826220']
991,['1200991']
885836,['4377654']
1200991,['991']
4219834,['4377654']
4377654,['4219834']
18452026,['11238984']
8226666,['6330026']
21749486,"['10583986', '12923090', '16513741', '17827328']"
20212490,"['19888215', '19116616', '20057383']"
19946878,"['19116616', '19214212', '19376871']"
21995300,"['20951028', '17444661', '18376850', '19425580', '20481463', '20822141']"
12509510,['4643319']
4643318,['4643319']
3887397,['4643318']
17444661,"['12509510', '4643318', '4643319', '3887397']"
18376850,"['17444661', '4643319']"
19425580,"['18376850', '12509510', '4643318', '4643319', '17444661']"
20822141,"['12509510', '18376850', '19425580', '20481463']"
20951028,"['17444661', '18376850', '19425580', '20481463', '20822141', '12509510']"
21553855,"['17444661', '19425580', '20481463', '20822141', '20951028', '12509510', '4643319']"
21939233,"['21553855', '12509510', '17444661', '19425580', '20951028']"
20594333,"['19116616', '19888215']"
21251315,"['19116616', '19376871', '19888215', '20057383']"
12881415,['10922040']
17360274,['12881415']
21178420,['12881415']
8576036,['8449892']
8580851,['3887397']
11790748,['11489857']
12923090,['10583986']
9293008,['9293009']
11080142,"['8576036', '9529892']"
10347054,['8576036']
12840036,['11238984']
10583986,['9293008']
11489857,"['9529892', '10322035']"
9293009,['9293008']
10986041,['11042151']
11042151,['10986041']
17557878,"['10816488', '17557880']"
19889083,"['17601876', '12011010']"
20525375,['12011010']
20656913,"['17557878', '17557880', '10816488']"
21496229,['21496229']
10816488,['9184008']
12011010,"['9184008', '10816488']"
19016788,"['18667168', '12011010', '9184008']"
19166577,"['15314660', '16504068', '17561995']"
20562270,"['17561995', '19166577']"
17601876,"['17030582', '17630330']"
17630330,"['17601876', '17030582']"
19783441,['18245277']
20348388,"['18245277', '18757566', '19783441']"
17557880,"['15634984', '17557878', '10756003', '11923347']"
20065328,"['18223118', '17337636', '17384199', '15634984', '14638801', '14745027', '14977985']"
19578406,['17693596']
18487346,"['16452151', '17693596']"
18757566,['18245277']
19801473,['18667168']
20508251,"['17337636', '17384199', '17513566', '19578406', '19783441', '20065328', '14745027', '18245277', '18757566']"
20435701,['18245277']
21170349,"['20508251', '17337636', '17384199', '14745027']"
21738678,"['20435701', '21170349']"
21876677,"['17337636', '17513566']"
21868608,"['17337636', '17384199', '18245277']"
17337636,['14745027']
17384199,['14745027']
17513566,"['17337636', '17384199']"
18223118,"['17337636', '17384199', '17513566']"
18245277,['17384199']
18689517,"['18223118', '18245277', '14745027', '17384199']"
21088867,"['17561995', '19166577', '20562270']"
17561995,"['15314660', '16504068', '15314654']"
18490947,['17384199']
14977985,['10922040']
15528703,['14977985']
17897469,['17030582']
18667168,"['17601876', '17630330', '17030582']"
19411623,['18667168']
18608908,"['17030582', '17601876', '17630330', '17897469']"
18212113,['17601876']
